2025-10-31 23:37:01,292 | INFO | apps.http | req=7bf9b5ea6464 user=- room=- | HTTP POST /auth/register/ -> 400 (7 ms)
2025-10-31 23:37:01,292 | WARNING | django.request | req=- user=- room=- | Bad Request: /auth/register/
2025-10-31 23:37:01,293 | DEBUG | apps.http | req=2a33dda6559a user=- room=- | HTTP POST /auth/register/
2025-10-31 23:37:01,293 | DEBUG | apps.users | req=2a33dda6559a user=- room=- | AUTH register attempt
2025-10-31 23:37:01,295 | INFO | apps.http | req=2a33dda6559a user=- room=- | HTTP POST /auth/register/ -> 400 (1 ms)
2025-10-31 23:37:01,295 | WARNING | django.request | req=- user=- room=- | Bad Request: /auth/register/
2025-10-31 23:37:01,296 | DEBUG | apps.http | req=0386b2632adc user=- room=- | HTTP POST /auth/register/
2025-10-31 23:37:01,296 | DEBUG | apps.users | req=0386b2632adc user=- room=- | AUTH register attempt
2025-10-31 23:37:01,764 | INFO | apps.users | req=0386b2632adc user=- room=- | AUTH register success user_id=1
2025-10-31 23:37:01,765 | INFO | apps.http | req=0386b2632adc user=- room=- | HTTP POST /auth/register/ -> 201 (468 ms)
2025-10-31 23:37:09,358 | DEBUG | apps.http | req=afd9fb7bc63c user=- room=- | HTTP POST /api/rooms/
2025-10-31 23:37:09,360 | INFO | apps.http | req=afd9fb7bc63c user=- room=- | HTTP POST /api/rooms/ -> 400 (1 ms)
2025-10-31 23:37:09,360 | WARNING | django.request | req=- user=- room=- | Bad Request: /api/rooms/
2025-10-31 23:37:10,214 | DEBUG | apps.http | req=f7fcc72a01f9 user=- room=- | HTTP POST /api/rooms/
2025-10-31 23:37:10,215 | INFO | apps.rooms | req=f7fcc72a01f9 user=- room=- | ROOM create room_id=3 user_id=1
2025-10-31 23:37:10,215 | INFO | apps.http | req=f7fcc72a01f9 user=- room=- | HTTP POST /api/rooms/ -> 201 (1 ms)
2025-10-31 23:37:11,151 | DEBUG | apps.http | req=3326aa189cd9 user=- room=- | HTTP POST /api/rooms/
2025-10-31 23:37:11,152 | INFO | apps.http | req=3326aa189cd9 user=- room=- | HTTP POST /api/rooms/ -> 401 (0 ms)
2025-10-31 23:37:11,153 | WARNING | django.request | req=- user=- room=- | Unauthorized: /api/rooms/
2025-10-31 23:37:12,065 | DEBUG | apps.http | req=fbe9ed47f7d1 user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:37:12,067 | WARNING | apps.rooms | req=fbe9ed47f7d1 user=- room=- | ROOM delete denied room_id=1 user_id=2
2025-10-31 23:37:12,068 | INFO | apps.http | req=fbe9ed47f7d1 user=- room=- | HTTP DELETE /api/rooms/1/ -> 403 (2 ms)
2025-10-31 23:37:12,068 | WARNING | django.request | req=- user=- room=- | Forbidden: /api/rooms/1/
2025-10-31 23:37:13,005 | DEBUG | apps.http | req=15e35078991c user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:37:13,007 | INFO | apps.rooms | req=15e35078991c user=- room=- | ROOM delete room_id=1 user_id=1
2025-10-31 23:37:13,007 | INFO | apps.http | req=15e35078991c user=- room=- | HTTP DELETE /api/rooms/1/ -> 204 (2 ms)
2025-10-31 23:37:13,871 | DEBUG | apps.http | req=e91367c54cd4 user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:37:13,872 | INFO | apps.http | req=e91367c54cd4 user=- room=- | HTTP DELETE /api/rooms/1/ -> 401 (1 ms)
2025-10-31 23:37:13,872 | WARNING | django.request | req=- user=- room=- | Unauthorized: /api/rooms/1/
2025-10-31 23:37:14,723 | DEBUG | apps.http | req=a86c5c7bd804 user=- room=- | HTTP GET /api/rooms/
2025-10-31 23:37:14,725 | INFO | apps.http | req=a86c5c7bd804 user=- room=- | HTTP GET /api/rooms/ -> 200 (2 ms)
2025-10-31 23:37:15,660 | DEBUG | apps.http | req=796b6a4cbd1a user=- room=- | HTTP GET /api/rooms/
2025-10-31 23:37:15,661 | INFO | apps.http | req=796b6a4cbd1a user=- room=- | HTTP GET /api/rooms/ -> 401 (0 ms)
2025-10-31 23:37:15,661 | WARNING | django.request | req=- user=- room=- | Unauthorized: /api/rooms/
2025-10-31 23:37:16,509 | DEBUG | apps.http | req=e801cdcc05fb user=- room=- | HTTP GET /api/rooms/2/
2025-10-31 23:37:16,510 | INFO | apps.http | req=e801cdcc05fb user=- room=- | HTTP GET /api/rooms/2/ -> 404 (1 ms)
2025-10-31 23:37:16,510 | WARNING | django.request | req=- user=- room=- | Not Found: /api/rooms/2/
2025-10-31 23:37:17,364 | DEBUG | apps.http | req=bf25c37b1127 user=- room=- | HTTP GET /api/rooms/1/
2025-10-31 23:37:17,366 | INFO | apps.http | req=bf25c37b1127 user=- room=- | HTTP GET /api/rooms/1/ -> 200 (2 ms)
2025-10-31 23:37:18,279 | DEBUG | apps.http | req=8f2369444825 user=- room=- | HTTP PATCH /api/rooms/1/
2025-10-31 23:37:18,281 | INFO | apps.http | req=8f2369444825 user=- room=- | HTTP PATCH /api/rooms/1/ -> 200 (1 ms)
2025-10-31 23:37:19,137 | DEBUG | apps.http | req=803981b3ff6d user=- room=- | HTTP PUT /api/rooms/1/
2025-10-31 23:37:19,139 | INFO | apps.http | req=803981b3ff6d user=- room=- | HTTP PUT /api/rooms/1/ -> 200 (2 ms)
2025-10-31 23:37:19,978 | DEBUG | apps.http | req=13b0a26ff75b user=- room=- | HTTP PUT /api/rooms/1/
2025-10-31 23:37:19,979 | INFO | apps.http | req=13b0a26ff75b user=- room=- | HTTP PUT /api/rooms/1/ -> 401 (1 ms)
2025-10-31 23:37:19,979 | WARNING | django.request | req=- user=- room=- | Unauthorized: /api/rooms/1/
2025-10-31 23:37:19,984 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:37:19,995 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (10 ms)
2025-10-31 23:37:19,996 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (0 ms)
2025-10-31 23:37:19,996 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:37:19,997 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:37:19,997 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (0 ms)
